Query,Clicks,Impressions,CTR,Position
furniture stores near me,174151,5538006,3.14%,8.33
furniture stores,95652,2656026,3.60%,8.22
furniture store near me,40009,1392079,2.87%,8.69
american frieght,35981,116604,30.86%,2.44
cheap furniture,33458,669882,4.99%,6.2
discount furniture,32194,633502,5.08%,7.15
bedroom sets,29559,1399480,2.11%,8.93
scratch and dent appliances,28384,208427,13.62%,3.38
appliance stores near me,26630,660887,4.03%,7.83
american furniture,22753,726825,3.13%,9.44
scratch and dent appliances near me,19393,159598,12.15%,4.09
cheap bedroom sets,16585,187830,8.83%,3.1
discount furniture near me,14071,269554,5.22%,5.49
cheap furniture near me,12481,250030,4.99%,5.54
appliance store near me,12073,338005,3.57%,6.48
cheap furniture stores,11503,212224,5.42%,5.92
furniture,11428,208188,5.49%,16.36
appliance stores,11013,190161,5.79%,7.18
furniture warehouse,10976,286804,3.83%,7.71
discount furniture stores near me,10443,201784,5.18%,5.13
refrigerator sale,9634,394202,2.44%,7.74
washer and dryer set,9464,530763,1.78%,10.45
refrigerator for sale,9097,218624,4.16%,5.9
mattress stores near me,8888,250698,3.55%,13.45
washer and dryer,8587,507263,1.69%,9.47
freezers for sale,8487,180162,4.71%,5.07
washer and dryer sets,8398,283393,2.96%,8.56
cheap mattresses,8394,151343,5.55%,5.72
refrigerator,8363,1368319,0.61%,12.25
discount appliances,8242,70416,11.70%,2.99
scratch and dent,8148,89727,9.08%,4.22
furniture near me,7970,855299,0.93%,8.87
furniture outlet,7718,133144,5.80%,8.74
sectional sofas,7682,313527,2.45%,11.8
furniture store,7600,822762,0.92%,18.51
cheap furniture stores near me,7355,173096,4.25%,5.38
sectional couch,7270,379415,1.92%,13.17
discount furniture stores,7226,108782,6.64%,5.57
appliances near me,7167,484753,1.48%,8.21
cheap couches,7109,250774,2.83%,9.63
american fright,6993,25342,27.59%,2.54
cheap mattress,6940,215850,3.22%,7.65
washer and dryer sale,6520,173319,3.76%,7.5
refrigerators for sale,6438,180944,3.56%,6.86
mattress,6184,93895,6.59%,31.92
